prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
176, 115	2	176	0, 1	1	0.682316118936	0.995305164319	76	73	563
176, 134	2	176	0, 0	1	0.733959311424	1.0	61	61	578
176, 146	2	176	0, 1	1	0.682316118936	0.996870109546	73	71	566
176, 149	2	176	0, 1	1	0.682316118936	0.995305164319	73	70	566
176, 153	2	176	0, 0	1	0.721439749609	1.0	53	53	586
176, 178	2	176	0, 0	1	0.72613458529	1.0	56	56	583
176, 198	2	176	0, 0	1	0.724569640063	0.992175273865	65	60	574
176, 220	2	176	0, 1	1	0.682316118936	0.992175273865	98	93	541
176, 224	2	176	0, 1	1	0.682316118936	0.993740219092	75	71	564
176, 239	2	176	0, 1	1	0.682316118936	0.995305164319	72	69	567
176, 246	2	176	0, 1	1	0.682316118936	0.995305164319	77	74	562
176, 26	2	176	0, 1	1	0.682316118936	0.992175273865	75	70	564
176, 281	2	176	0, 1	1	0.682316118936	1.0	75	75	564
176, 29	2	176	0, 1	1	0.682316118936	1.0	80	80	559
176, 298	2	176	0, 1	1	0.682316118936	0.990610328638	81	75	558
176, 3	2	176	0, 1	1	0.682316118936	0.998435054773	80	79	559
176, 304	2	176	0, 1	1	0.682316118936	1.0	87	87	552
176, 314	2	176	0, 1	1	0.682316118936	1.0	82	82	557
176, 333	2	176	0, 1	1	0.682316118936	1.0	89	89	550
176, 339	2	176	0, 1	1	0.682316118936	0.995305164319	75	72	564
176, 346	2	176	0, 0	1	0.715179968701	0.992175273865	59	54	580
176, 362	2	176	0, 1	1	0.682316118936	0.993740219092	79	75	560
176, 369	2	176	0, 1	1	0.682316118936	0.998435054773	79	78	560
176, 372	2	176	0, 0	1	0.721439749609	1.0	53	53	586
176, 374	2	176	0, 0	1	0.718309859155	0.995305164319	57	54	582
176, 375	2	176	0, 1	1	0.682316118936	0.992175273865	76	71	563
176, 51	2	176	0, 0	1	0.738654147105	1.0	64	64	575
176, 53	2	176	0, 1	1	0.682316118936	1.0	76	76	563
176, 54	2	176	0, 1	1	0.682316118936	0.996870109546	72	70	567
176, 61	2	176	0, 1	1	0.682316118936	0.992175273865	88	83	551
176, 62	2	176	0, 0	1	0.723004694836	0.990610328638	66	60	573
