prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
304, 19, 178	3	304	1, 1, 0	0	0.765258215962	1.0	143	143	496
304, 19, 281	3	304	1, 1, 1	0	0.793427230047	1.0	161	161	478
304, 19, 29	3	304	1, 1, 1	0	0.801251956182	1.0	166	166	473
304, 19, 314	3	304	1, 1, 1	0	0.802816901408	1.0	167	167	472
304, 19, 371	3	304	1, 1, 0	0	0.776212832551	1.0	150	150	489
304, 19, 51	3	304	1, 1, 0	0	0.777777777778	1.0	151	151	488
304, 19, 53	3	304	1, 1, 1	0	0.796557120501	1.0	163	163	476
304, 281, 106	3	304	1, 1, 0	0	0.738654147105	1.0	135	135	504
304, 281, 110	3	304	1, 1, 1	0	0.765258215962	1.0	152	152	487
304, 281, 153	3	304	1, 1, 0	0	0.732394366197	1.0	131	131	508
304, 281, 176	3	304	1, 1, 0	0	0.737089201878	1.0	134	134	505
304, 281, 178	3	304	1, 1, 0	0	0.737089201878	1.0	134	134	505
304, 281, 193	3	304	1, 1, 0	0	0.73082942097	1.0	130	130	509
304, 281, 197	3	304	1, 1, 0	0	0.737089201878	1.0	134	134	505
304, 281, 212	3	304	1, 1, 0	0	0.738654147105	1.0	135	135	504
304, 281, 263	3	304	1, 1, 0	0	0.765258215962	1.0	152	152	487
304, 281, 269	3	304	1, 1, 0	0	0.737089201878	1.0	134	134	505
304, 281, 320	3	304	1, 1, 0	0	0.732394366197	1.0	131	131	508
304, 281, 51	3	304	1, 1, 0	0	0.749608763693	1.0	142	142	497
304, 281, 98	3	304	1, 1, 0	0	0.733959311424	1.0	132	132	507
304, 29, 110	3	304	1, 1, 1	0	0.780907668232	1.0	157	157	482
304, 29, 153	3	304	1, 1, 0	0	0.748043818466	1.0	136	136	503
304, 29, 176	3	304	1, 1, 0	0	0.752738654147	1.0	139	139	500
304, 29, 178	3	304	1, 1, 0	0	0.752738654147	1.0	139	139	500
304, 29, 281	3	304	1, 1, 1	0	0.780907668232	1.0	157	157	482
304, 29, 51	3	304	1, 1, 0	0	0.765258215962	1.0	147	147	492
304, 29, 53	3	304	1, 1, 1	0	0.782472613459	1.0	158	158	481
304, 51, 153	3	304	1, 0, 0	1	0.733959311424	1.0	120	120	519
304, 51, 176	3	304	1, 0, 0	1	0.738654147105	1.0	123	123	516
304, 51, 178	3	304	1, 0, 0	1	0.738654147105	1.0	123	123	516
314, 110, 153	3	314	1, 1, 0	0	0.713615023474	1.0	125	125	514
314, 110, 176	3	314	1, 1, 0	0	0.718309859155	1.0	128	128	511
314, 110, 178	3	314	1, 1, 0	0	0.718309859155	1.0	128	128	511
314, 110, 51	3	314	1, 1, 0	0	0.73082942097	1.0	136	136	503
314, 134, 110	3	314	1, 0, 1	1	0.69014084507	1.0	133	133	506
314, 134, 176	3	314	1, 0, 0	1	0.733959311424	1.0	115	115	524
314, 134, 178	3	314	1, 0, 0	1	0.733959311424	1.0	115	115	524
314, 134, 19	3	314	1, 0, 1	1	0.69014084507	1.0	142	142	497
314, 134, 281	3	314	1, 0, 1	1	0.69014084507	1.0	134	134	505
314, 134, 29	3	314	1, 0, 1	1	0.69014084507	1.0	138	138	501
314, 134, 304	3	314	1, 0, 1	1	0.69014084507	1.0	145	145	494
314, 134, 333	3	314	1, 0, 1	1	0.69014084507	1.0	148	148	491
314, 134, 53	3	314	1, 0, 1	1	0.69014084507	1.0	134	134	505
314, 176, 178	3	314	1, 0, 0	1	0.72613458529	1.0	110	110	529
314, 176, 51	3	314	1, 0, 0	1	0.738654147105	1.0	118	118	521
314, 19, 110	3	314	1, 1, 1	0	0.773082942097	1.0	154	154	485
314, 19, 153	3	314	1, 1, 0	0	0.741784037559	1.0	134	134	505
314, 19, 176	3	314	1, 1, 0	0	0.746478873239	1.0	137	137	502
314, 19, 178	3	314	1, 1, 0	0	0.746478873239	1.0	137	137	502
314, 19, 280	3	314	1, 1, 0	0	0.740219092332	1.0	133	133	506
314, 19, 281	3	314	1, 1, 1	0	0.774647887324	1.0	155	155	484
314, 19, 29	3	314	1, 1, 1	0	0.780907668232	1.0	159	159	480
314, 19, 51	3	314	1, 1, 0	0	0.758998435055	1.0	145	145	494
314, 19, 53	3	314	1, 1, 1	0	0.776212832551	1.0	156	156	483
314, 281, 110	3	314	1, 1, 1	0	0.749608763693	1.0	147	147	492
314, 281, 153	3	314	1, 1, 0	0	0.716744913928	1.0	126	126	513
314, 281, 176	3	314	1, 1, 0	0	0.721439749609	1.0	129	129	510
314, 281, 178	3	314	1, 1, 0	0	0.721439749609	1.0	129	129	510
314, 281, 51	3	314	1, 1, 0	0	0.733959311424	1.0	137	137	502
314, 281, 53	3	314	1, 1, 1	0	0.749608763693	1.0	147	147	492
314, 29, 110	3	314	1, 1, 1	0	0.762128325509	1.0	151	151	488
